2019-07-31 07:52:14.20: RC_CHANNELS_RAW {time_boot_ms : 2308967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:14.70: RC_CHANNELS_RAW {time_boot_ms : 2309467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:15.20: RC_CHANNELS_RAW {time_boot_ms : 2309967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:15.70: RC_CHANNELS_RAW {time_boot_ms : 2310467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:16.21: RC_CHANNELS_RAW {time_boot_ms : 2310967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:16.71: RC_CHANNELS_RAW {time_boot_ms : 2311467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:17.20: RC_CHANNELS_RAW {time_boot_ms : 2311967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:17.70: RC_CHANNELS_RAW {time_boot_ms : 2312467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:18.20: RC_CHANNELS_RAW {time_boot_ms : 2312967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:18.70: RC_CHANNELS_RAW {time_boot_ms : 2313467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:19.20: RC_CHANNELS_RAW {time_boot_ms : 2313967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:19.70: RC_CHANNELS_RAW {time_boot_ms : 2314467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:20.20: RC_CHANNELS_RAW {time_boot_ms : 2314967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:20.70: RC_CHANNELS_RAW {time_boot_ms : 2315467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:21.20: RC_CHANNELS_RAW {time_boot_ms : 2315967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:21.70: RC_CHANNELS_RAW {time_boot_ms : 2316467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:22.21: RC_CHANNELS_RAW {time_boot_ms : 2316967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:22.70: RC_CHANNELS_RAW {time_boot_ms : 2317467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:23.22: RC_CHANNELS_RAW {time_boot_ms : 2317967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:23.70: RC_CHANNELS_RAW {time_boot_ms : 2318467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:24.20: RC_CHANNELS_RAW {time_boot_ms : 2318967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:24.70: RC_CHANNELS_RAW {time_boot_ms : 2319467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:25.20: RC_CHANNELS_RAW {time_boot_ms : 2319967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:25.70: RC_CHANNELS_RAW {time_boot_ms : 2320467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:26.20: RC_CHANNELS_RAW {time_boot_ms : 2320967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:26.70: RC_CHANNELS_RAW {time_boot_ms : 2321467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:26.94: RC_CHANNELS_RAW {time_boot_ms : 2321707, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:27.18: RC_CHANNELS_RAW {time_boot_ms : 2321947, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:27.42: RC_CHANNELS_RAW {time_boot_ms : 2322187, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:27.66: RC_CHANNELS_RAW {time_boot_ms : 2322427, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:27.91: RC_CHANNELS_RAW {time_boot_ms : 2322667, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:28.15: RC_CHANNELS_RAW {time_boot_ms : 2322907, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:28.38: RC_CHANNELS_RAW {time_boot_ms : 2323147, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:28.62: RC_CHANNELS_RAW {time_boot_ms : 2323387, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:28.86: RC_CHANNELS_RAW {time_boot_ms : 2323627, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
